Date,UNRATE
2006-12-21,4.532487882166334
2006-12-22,4.540633654912929
2006-12-25,4.5635198364392
2006-12-26,4.570463946495286
2006-12-27,4.576981962217619
2006-12-28,4.583023612141752
2006-12-29,4.588538624803236
2007-01-01,4.601422021650463
2007-01-02,4.604362499768768
2007-01-03,4.6066317984648375
2007-01-04,4.6082551535443805
2007-01-05,4.609257800813108
2007-01-08,4.608793853811474
2007-01-09,4.607566027894022
2007-01-10,4.605843673194299
2007-01-11,4.603652025518013
2007-01-12,4.601016320670871
2007-01-15,4.590697221161416
2007-01-16,4.586537645687948
2007-01-17,4.5820601920721735
2007-01-18,4.577290096119798
2007-01-19,4.572252593636533
2007-01-22,4.555788005058481
2007-01-23,4.54993323450874
2007-01-24,4.543937236456655
2007-01-25,4.537825246707933
2007-01-26,4.531622501068284
2007-01-29,4.512722086860862
2007-01-30,4.506408675714591
2007-01-31,4.500130687705936
2007-02-01,4.493911471744374
2007-02-02,4.487766340499207
2007-02-05,4.469907191375449
2007-02-06,4.464190135272497
2007-02-07,4.458613032005882
2007-02-08,4.453189055195927
2007-02-09,4.447931378462946
2007-02-12,4.433287884928989
2007-02-13,4.428827144707051
2007-02-14,4.424598572663662
2007-02-15,4.420615342419136
2007-02-16,4.416890627593792
2007-02-19,4.407399311835993
2007-02-20,4.404840394890524
2007-02-21,4.40260586146581
2007-02-22,4.400708885182168
2007-02-23,4.399162639659915
2007-02-26,4.396760023864635
2007-02-27,4.396748437591086
2007-02-28,4.3971534501805
2007-03-01,4.397988235253195
2007-03-02,4.399265966429486
2007-03-05,4.405755443286999
2007-03-06,4.408709852704929
2007-03-07,4.412001071077334
2007-03-08,4.415593731703044
2007-03-09,4.419452467880894
2007-03-12,4.432271462715572
2007-03-13,4.436840834090276
2007-03-14,4.441499447511272
2007-03-15,4.446211936277389
2007-03-16,4.4509429336874575
2007-03-19,4.464893310769688
2007-03-20,4.469344675743875
2007-03-21,4.473637715856166
2007-03-22,4.477737064405395
2007-03-23,4.481607354690392
2007-03-26,4.491490208948295
2007-03-27,4.494090599164669
2007-03-28,4.496285097610964
2007-03-29,4.498038337586011
2007-03-30,4.499314952388641
2007-04-02,4.499931395244819
2007-04-03,4.498965630566565
2007-04-04,4.497433422551613
2007-04-05,4.495377937212722
2007-04-06,4.492842340562651
2007-04-09,4.482786542872951
2007-04-10,4.478762161105754
2007-04-11,4.474473498091173
2007-04-12,4.469963719841967
2007-04-13,4.465275992370897
2007-04-16,4.450576774754082
2007-04-17,4.445608910523143
2007-04-18,4.440678927134134
2007-04-19,4.435829990599816
2007-04-20,4.431105266932946
2007-04-23,4.418108033264625
2007-04-24,4.414311821195144
2007-04-25,4.410855652056909
2007-04-26,4.407782691862678
2007-04-27,4.405136106625211
2007-04-30,4.400186260780987
2007-05-01,4.399676835498167
2007-05-02,4.399809615235907
2007-05-03,4.400624012598382
2007-05-04,4.402116713711288
2007-05-07,4.4103583575877146
2007-05-08,4.414257124441212
2007-05-09,4.418680186766449
